Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreatesAUser,Firefox 64.0,,2019-01-28 11:34:59,2019-01-28 11:38:06,3m - 6.932s,PASSED
,,,,,,
Test Cases/CreateUser,Firefox 64.0,"This test creates new user for the site-
https://iddtrain.georgiacollaborative.com/IDDPortal/",2019-01-28 11:34:59,2019-01-28 11:38:06,3m - 6.405s,PASSED
"for ([row = 1, row <= findTestData(""TestData"").getRowNumbers(), (row++)])",Firefox 64.0,,2019-01-28 11:35:01,2019-01-28 11:38:03,3m - 2.298s,PASSED
