Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CreatesAUser,Chrome 71.0.3578.98,,2019-01-25 15:36:00,2019-01-25 15:37:27,1m - 26.472s,FAILED
,,,,,,
Test Cases/CreateUser,Chrome 71.0.3578.98,"This test creates new user for the site-
https://iddtrain.georgiacollaborative.com/IDDPortal/",2019-01-25 15:36:00,2019-01-25 15:37:26,1m - 25.372s,FAILED
"for ([row = 1, row <= findTestData(""TestData"").getRowNumbers(), (row++)])",Chrome 71.0.3578.98,,2019-01-25 15:36:01,2019-01-25 15:37:24,1m - 22.402s,FAILED
